Open Time,Open,High,Low,Close,Volume,Taker Buy Base Volume,Taker Buy Quote Volume
2024-02-12,48300.0,50334.82,47710.01,49917.27,59009.96705,30797.43359,1512688561.6888654
2024-02-13,49917.28,50368.61,48300.95,49699.59,55551.56706,28409.79337,1403783512.6809905
2024-02-14,49699.6,52043.71,49225.01,51795.17,57046.37401,29664.5183,1518339681.334602
2024-02-15,51795.17,52816.62,51314.0,51880.0,53816.03055,26722.58656,1391971339.715806
2024-02-16,51880.01,52572.08,51566.0,52124.11,37772.25318,18309.89888,952708587.7324988
2024-02-17,52124.1,52162.82,50625.0,51642.64,25674.00622,12655.51593,650426057.1976154
2024-02-18,51642.64,52377.0,51163.28,52137.67,21992.10363,11281.34692,584447328.1142722
2024-02-19,52137.68,52488.77,51677.0,51774.73,29534.99432,15266.36204,795825023.6442236
2024-02-20,51774.74,52985.0,50760.37,52258.82,49614.47318,24994.25062,1297330385.0050933
2024-02-21,52258.82,52366.8,50625.0,51849.39,43079.40049,22239.73293,1140905416.956252
2024-02-22,51849.38,52065.78,50940.78,51288.42,35309.44574,17830.4673,919599483.9078617
2024-02-23,51288.42,51548.54,50521.0,50744.15,30545.79544,14610.80906,745820955.2560463
2024-02-24,50744.15,51698.0,50585.0,51568.22,16560.4211,8462.15627,433239599.4239887
2024-02-25,51568.21,51958.55,51279.8,51728.85,18721.63159,9544.17672,492952522.6816389
2024-02-26,51728.85,54910.0,50901.44,54476.47,51256.72199,27198.83551,1438371804.1101012
2024-02-27,54476.48,57588.15,54450.13,57037.34,67194.98562,34970.25885,1975472154.5115738
2024-02-28,57037.35,64000.0,56691.85,62432.1,118763.46984,62066.63936,3742433894.9450765
2024-02-29,62432.11,63676.35,60364.7,61130.98,78425.07603,39463.06931,2452515504.8686514
2024-03-01,61130.99,63114.23,60777.0,62387.9,47737.93473,24195.70252,1498771144.099956
2024-03-02,62387.9,62433.19,61561.12,61987.28,25534.73659,12691.37721,786583052.0862726
2024-03-03,61987.28,63231.88,61320.0,63113.97,28994.90903,14905.186,927868983.7308431
2024-03-04,63113.97,68499.0,62300.0,68245.71,84835.16005,45319.0864,2974396037.6857204
2024-03-05,68245.71,69000.0,59005.0,63724.01,132696.7813,65991.84526,4318205559.64365
2024-03-06,63724.01,67641.1,62779.14,66074.04,78738.85491,40344.32596,2663883160.206962
2024-03-07,66074.04,67980.0,65551.0,66823.17,53059.8869,27935.66302,1867854683.98203
2024-03-08,66823.18,69990.0,66082.66,68124.19,74261.932842,37711.514581,2563347797.5286803
